Timestamp (ms),F_IMU_GYRO_Z
12424,-0.125
12440,0.0
12446,0.0
12454,0.0625
12463,0.125
12474,0.0625
12484,0.0625
12494,0.0625
12503,0.0625
12513,-0.125
12523,-0.1875
12523,-0.1875
12535,0.0
12543,0.0625
12553,0.125
12563,-0.0625
12573,-0.0625
12573,-0.0625
12585,0.0
12593,0.0625
12603,0.0625
12613,0.0625
12623,0.125
12639,0.125
12644,0.125
12653,-0.0625
12663,-0.0625
12673,0.0
12683,0.0
12693,-0.1875
12703,-0.0625
12713,-0.125
12723,0.0
12733,-0.0625
12743,-0.125
12753,-0.0625
12763,0.0625
12773,0.0625
12789,-0.125
12793,0.125
12803,0.0
12813,0.0
12823,0.0
12833,-0.125
12843,-0.0625
12853,-0.0625
12863,0.0
12873,0.0
12883,-0.125
12893,0.0
12903,0.125
12913,-0.125
12923,-0.0625
12939,-0.0625
12943,0.125
12953,-0.125
12963,-0.0625
12973,0.125
12973,0.125
12983,-0.125
12993,0.0
13003,0.0
13013,0.0
13023,0.125
13033,-0.0625
13043,0.0
13053,0.0
13064,-0.125
13073,0.0
13088,0.0
13093,-0.125
13103,-0.0625
13114,0.0
13123,0.125
13133,-0.125
13143,-0.0625
13153,-0.0625
13164,0.125
13173,-0.0625
13183,0.125
13193,0.1875
13204,0.0625
13214,0.0
13224,0.0625
13234,-0.125
13244,-0.0625
13254,0.0625
13264,0.0625
13274,0.0
13288,0.125
13294,0.0
13304,-0.0625
13314,0.0625
13324,-0.125
13334,-0.25
13344,0.125
13354,0.0
13364,-0.1875
13374,0.0
13384,-0.0625
13394,0.125
13404,-0.125
13414,0.1875
13424,-0.0625
13424,-0.0625
13436,0.0
13444,0.0625
13454,0.0
13464,-0.125
13474,0.0
13484,0.0
13494,0.0625
13504,-0.125
13514,0.125
13524,-0.0625
13524,-0.0625
13535,0.0625
13544,-0.0625
13554,-0.0625
13564,0.0625
13574,-0.0625
13585,0.0
13594,0.0
13604,-0.0625
13614,0.0
13624,0.0625
13638,-0.0625
13644,-0.0625
13654,-0.1875
13665,0.0
13674,0.125
13685,-0.0625
13694,0.0625
13705,0.0
13715,0.0
13724,0.0
13735,-0.0625
13744,-0.0625
13754,-0.0625
13765,-0.0625
13775,0.0625
13775,0.0625
13785,-0.125
13795,-0.0625
13805,0.0
13815,0.125
13824,0.0625
13824,0.0625
13837,-0.0625
13845,0.0
13855,0.125
13865,-0.125
13875,-0.1875
13885,-0.0625
13895,0.0625
13905,-0.0625
13915,-0.0625
13924,-0.0625
13924,-0.0625
13935,0.125
13945,0.1875
13955,0.125
13965,0.0625
13975,0.0625
13985,0.0625
13995,0.0
14005,-0.1875
14015,-0.125
14024,-0.125
14035,0.0625
14045,0.125
14055,0.125
14065,0.0625
14075,0.0625
14087,-0.125
14095,-0.0625
14105,-0.125
14115,0.1875
14124,0.1875
14135,0.0625
14145,0.25
14155,0.25
14166,0.25
14174,0.3125
14186,-0.3125
14195,-0.3125
14205,-0.1875
14216,0.0625
14224,0.0625
14236,0.125
14245,0.125
14256,0.125
14266,0.0
14275,-0.0625
14286,0.0
14296,0.0
14306,0.0
14316,0.125
14323,-0.1875
