Timestamp (ms),F_IMU_ABS_Z
14773,-13.375
14783,-13.4375
14792,-13.375
14800,0.0
14810,0.0
14820,0.0
14830,0.0
14840,0.0
14850,0.0
14860,0.0
14870,0.0
14880,0.0
14890,0.0
14900,0.0
14910,0.0
14920,0.0
14930,0.0
14946,-13.1875
14956,-13.25
14966,-13.25
14973,-13.25
14986,-13.25
14996,-13.1875
15005,-13.1875
15015,-13.1875
15023,-13.1875
15035,-13.1875
15045,-13.1875
15055,-13.1875
15065,-13.125
15073,-13.125
15085,-13.125
15095,-13.125
15105,-13.125
15114,-13.1875
15123,-13.125
15136,-13.125
15144,-13.125
15152,-13.125
15163,0.0
15170,0.0
